,neuronas,dropout,lr,rmse
7,"(8, 16, 32)",0.3,0.01,0.12201617658138275
31,"(8, 16, 64)",0.2,0.01,0.12248750776052475
82,"(16, 32, 64)",0.1,0.01,0.12348980456590652
9,"(8, 16, 32)",0.1,0.001,0.12352505326271057
13,"(8, 16, 32)",0.2,0.001,0.12352761626243591
42,"(8, 16, 64)",0.3,0.001,0.12354723364114761
36,"(8, 16, 64)",0.1,0.001,0.12355560064315796
27,"(8, 16, 64)",0.1,0.01,0.1236463114619255
54,"(8, 32, 64)",0.1,0.01,0.12368311733007431
91,"(16, 32, 64)",0.1,0.001,0.12368601560592651
33,"(8, 16, 64)",0.3,0.01,0.12376654148101807
1,"(8, 16, 32)",0.1,0.01,0.12383899837732315
39,"(8, 16, 64)",0.2,0.001,0.12385442107915878
66,"(8, 32, 64)",0.2,0.001,0.12388067692518234
90,"(16, 32, 64)",0.1,0.001,0.12388721108436584
70,"(8, 32, 64)",0.3,0.001,0.12397992610931396
94,"(16, 32, 64)",0.2,0.001,0.1240074411034584
12,"(8, 16, 32)",0.2,0.001,0.1240251362323761
6,"(8, 16, 32)",0.3,0.01,0.12405918538570404
81,"(16, 32, 64)",0.1,0.01,0.12406661361455917
10,"(8, 16, 32)",0.1,0.001,0.12412672489881516
43,"(8, 16, 64)",0.3,0.001,0.12424187362194061
55,"(8, 32, 64)",0.1,0.01,0.12428394705057144
87,"(16, 32, 64)",0.3,0.01,0.12430237978696823
84,"(16, 32, 64)",0.2,0.01,0.12433243542909622
28,"(8, 16, 64)",0.1,0.01,0.12435674667358398
63,"(8, 32, 64)",0.1,0.001,0.12435731291770935
61,"(8, 32, 64)",0.3,0.01,0.12436285614967346
58,"(8, 32, 64)",0.2,0.01,0.12436340004205704
97,"(16, 32, 64)",0.3,0.001,0.12441333383321762
37,"(8, 16, 64)",0.1,0.001,0.12444117665290833
67,"(8, 32, 64)",0.2,0.001,0.12444743514060974
88,"(16, 32, 64)",0.3,0.01,0.12446683645248413
93,"(16, 32, 64)",0.2,0.001,0.12449737638235092
64,"(8, 32, 64)",0.1,0.001,0.12454351037740707
30,"(8, 16, 64)",0.2,0.01,0.12463022768497467
96,"(16, 32, 64)",0.3,0.001,0.12478563189506531
34,"(8, 16, 64)",0.3,0.01,0.12480959296226501
57,"(8, 32, 64)",0.2,0.01,0.12496083229780197
85,"(16, 32, 64)",0.2,0.01,0.12532714009284973
15,"(8, 16, 32)",0.3,0.001,0.12836235761642456
0,"(8, 16, 32)",0.1,0.01,0.12842264771461487
103,"(16, 32, 64)",0.2,0.0001,0.12865139544010162
100,"(16, 32, 64)",0.1,0.0001,0.12888498604297638
60,"(8, 32, 64)",0.3,0.01,0.12890009582042694
3,"(8, 16, 32)",0.2,0.01,0.1290959268808365
105,"(16, 32, 64)",0.3,0.0001,0.12947840988636017
102,"(16, 32, 64)",0.2,0.0001,0.12959644198417664
40,"(8, 16, 64)",0.2,0.001,0.1303655356168747
4,"(8, 16, 32)",0.2,0.01,0.13078658282756805
16,"(8, 16, 32)",0.3,0.001,0.13108202815055847
69,"(8, 32, 64)",0.3,0.001,0.13136470317840576
99,"(16, 32, 64)",0.1,0.0001,0.13204900920391083
106,"(16, 32, 64)",0.3,0.0001,0.13241973519325256
73,"(8, 32, 64)",0.1,0.0001,0.13397084176540375
45,"(8, 16, 64)",0.1,0.0001,0.1339775025844574
78,"(8, 32, 64)",0.3,0.0001,0.13420706987380981
72,"(8, 32, 64)",0.1,0.0001,0.13429254293441772
79,"(8, 32, 64)",0.3,0.0001,0.13446900248527527
46,"(8, 16, 64)",0.1,0.0001,0.134525865316391
21,"(8, 16, 32)",0.2,0.0001,0.13471730053424835
75,"(8, 32, 64)",0.2,0.0001,0.13480550050735474
51,"(8, 16, 64)",0.3,0.0001,0.13521018624305725
48,"(8, 16, 64)",0.2,0.0001,0.13573728501796722
25,"(8, 16, 32)",0.3,0.0001,0.1359504610300064
18,"(8, 16, 32)",0.1,0.0001,0.13604892790317535
49,"(8, 16, 64)",0.2,0.0001,0.13625678420066833
76,"(8, 32, 64)",0.2,0.0001,0.1366632580757141
86,"(16, 32, 64)",0.2,0.01,0.13718609511852264
19,"(8, 16, 32)",0.1,0.0001,0.1372128129005432
2,"(8, 16, 32)",0.1,0.01,0.13725468516349792
22,"(8, 16, 32)",0.2,0.0001,0.1375725418329239
83,"(16, 32, 64)",0.1,0.01,0.1379578560590744
89,"(16, 32, 64)",0.3,0.01,0.13816682994365692
52,"(8, 16, 64)",0.3,0.0001,0.1382092833518982
59,"(8, 32, 64)",0.2,0.01,0.13900980353355408
29,"(8, 16, 64)",0.1,0.01,0.1392516940832138
24,"(8, 16, 32)",0.3,0.0001,0.13951383531093597
62,"(8, 32, 64)",0.3,0.01,0.13988180458545685
56,"(8, 32, 64)",0.1,0.01,0.14015400409698486
32,"(8, 16, 64)",0.2,0.01,0.14026358723640442
8,"(8, 16, 32)",0.3,0.01,0.14136497676372528
35,"(8, 16, 64)",0.3,0.01,0.1418706774711609
5,"(8, 16, 32)",0.2,0.01,0.1513310670852661
95,"(16, 32, 64)",0.2,0.001,0.17228436470031738
98,"(16, 32, 64)",0.3,0.001,0.18340463936328888
92,"(16, 32, 64)",0.1,0.001,0.19030322134494781
71,"(8, 32, 64)",0.3,0.001,0.1990349292755127
38,"(8, 16, 64)",0.1,0.001,0.20116198062896729
44,"(8, 16, 64)",0.3,0.001,0.20584122836589813
68,"(8, 32, 64)",0.2,0.001,0.2141491174697876
14,"(8, 16, 32)",0.2,0.001,0.21823330223560333
17,"(8, 16, 32)",0.3,0.001,0.22668547928333282
65,"(8, 32, 64)",0.1,0.001,0.22923544049263
80,"(8, 32, 64)",0.3,0.0001,0.2293490320444107
41,"(8, 16, 64)",0.2,0.001,0.22978107631206512
11,"(8, 16, 32)",0.1,0.001,0.23156851530075073
74,"(8, 32, 64)",0.1,0.0001,0.24220064282417297
53,"(8, 16, 64)",0.3,0.0001,0.2449716180562973
50,"(8, 16, 64)",0.2,0.0001,0.25375261902809143
77,"(8, 32, 64)",0.2,0.0001,0.2584453821182251
101,"(16, 32, 64)",0.1,0.0001,0.26020562648773193
107,"(16, 32, 64)",0.3,0.0001,0.2651083767414093
20,"(8, 16, 32)",0.1,0.0001,0.2689167261123657
26,"(8, 16, 32)",0.3,0.0001,0.31006568670272827
23,"(8, 16, 32)",0.2,0.0001,0.5868477821350098
47,"(8, 16, 64)",0.1,0.0001,0.5868477821350098
104,"(16, 32, 64)",0.2,0.0001,0.5868477821350098
