,neuronas,dropout,lr,opt,rmse,r2
84,"(32, 32, 64)",0.2,0.01,Adam,0.12315548211336136,0.7273308038711548
36,"(16, 32, 32)",0.2,0.01,Adam,0.12317029386758804,0.7272652387619019
108,"(64, 64, 64)",0.2,0.01,Adam,0.12326762825250626,0.7268339395523071
16,"(16, 16, 32)",0.2,0.001,Adam,0.12332994490861893,0.726557731628418
88,"(32, 32, 64)",0.2,0.001,Adam,0.12354002892971039,0.7256253361701965
114,"(64, 64, 64)",0.3,0.001,Adam,0.12372030317783356,0.7248239517211914
62,"(16, 64, 64)",0.3,0.01,Adam,0.12401154637336731,0.7235268950462341
60,"(16, 64, 64)",0.2,0.01,Adam,0.12408565729856491,0.7231963872909546
66,"(16, 64, 64)",0.3,0.001,Adam,0.12409113347530365,0.7231719493865967
100,"(32, 64, 64)",0.2,0.001,Adam,0.12410970777273178,0.7230890393257141
72,"(32, 32, 32)",0.2,0.01,Adam,0.12421929091215134,0.7225998640060425
30,"(16, 16, 64)",0.3,0.001,Adam,0.12430141866207123,0.7222329378128052
12,"(16, 16, 32)",0.2,0.01,Adam,0.12438642978668213,0.7218528389930725
86,"(32, 32, 64)",0.3,0.01,Adam,0.1244630366563797,0.7215101718902588
98,"(32, 64, 64)",0.3,0.01,Adam,0.12453167885541916,0.7212028503417969
0,"(16, 16, 16)",0.2,0.01,Adam,0.12453998625278473,0.721165657043457
18,"(16, 16, 32)",0.3,0.001,Adam,0.12454808503389359,0.7211294174194336
38,"(16, 32, 32)",0.3,0.01,Adam,0.12460172176361084,0.720889151096344
28,"(16, 16, 64)",0.2,0.001,Adam,0.12460239231586456,0.7208861112594604
110,"(64, 64, 64)",0.3,0.01,Adam,0.12460692971944809,0.7208658456802368
24,"(16, 16, 64)",0.2,0.01,Adam,0.1246207132935524,0.7208040952682495
112,"(64, 64, 64)",0.2,0.001,Adam,0.12464623898267746,0.7206896543502808
52,"(16, 32, 64)",0.2,0.001,Adam,0.1247156485915184,0.7203785181045532
40,"(16, 32, 32)",0.2,0.001,Adam,0.1247241199016571,0.7203405499458313
90,"(32, 32, 64)",0.3,0.001,Adam,0.12477234750986099,0.7201242446899414
26,"(16, 16, 64)",0.3,0.01,Adam,0.12489072978496552,0.7195928692817688
96,"(32, 64, 64)",0.2,0.01,Adam,0.12494829297065735,0.7193343639373779
48,"(16, 32, 64)",0.2,0.01,Adam,0.12496820092201233,0.7192448973655701
4,"(16, 16, 16)",0.2,0.001,Adam,0.125044047832489,0.7189040184020996
58,"(16, 32, 64)",0.3,0.0001,Adam,0.12515825033187866,0.7183903455734253
116,"(64, 64, 64)",0.2,0.0001,Adam,0.12518362700939178,0.7182761430740356
56,"(16, 32, 64)",0.2,0.0001,Adam,0.12523214519023895,0.7180577516555786
64,"(16, 64, 64)",0.2,0.001,Adam,0.12534958124160767,0.7175286412239075
74,"(32, 32, 32)",0.3,0.01,Adam,0.12541097402572632,0.7172518968582153
102,"(32, 64, 64)",0.3,0.001,Adam,0.1254570633172989,0.7170439958572388
106,"(32, 64, 64)",0.3,0.0001,Adam,0.1255122423171997,0.7167950868606567
50,"(16, 32, 64)",0.3,0.01,Adam,0.1255137324333191,0.7167883515357971
54,"(16, 32, 64)",0.3,0.001,Adam,0.12552709877490997,0.7167279720306396
14,"(16, 16, 32)",0.3,0.01,Adam,0.12556420266628265,0.7165605425834656
118,"(64, 64, 64)",0.3,0.0001,Adam,0.12557090818881989,0.7165303230285645
76,"(32, 32, 32)",0.2,0.001,Adam,0.12563872337341309,0.7162240147590637
68,"(16, 64, 64)",0.2,0.0001,Adam,0.1258610337972641,0.7152189016342163
20,"(16, 16, 32)",0.2,0.0001,Adam,0.12586621940135956,0.7151954174041748
78,"(32, 32, 32)",0.3,0.001,Adam,0.12589192390441895,0.7150790691375732
70,"(16, 64, 64)",0.3,0.0001,Adam,0.1259113848209381,0.7149909734725952
42,"(16, 32, 32)",0.3,0.001,Adam,0.12611010670661926,0.7140905857086182
32,"(16, 16, 64)",0.2,0.0001,Adam,0.12651605904102325,0.7122469544410706
34,"(16, 16, 64)",0.3,0.0001,Adam,0.1268789917230606,0.7105936408042908
92,"(32, 32, 64)",0.2,0.0001,Adam,0.12701630592346191,0.7099668979644775
104,"(32, 64, 64)",0.2,0.0001,Adam,0.1270737648010254,0.7097044587135315
99,"(32, 64, 64)",0.3,0.01,SGD,0.12720295786857605,0.7091138362884521
61,"(16, 64, 64)",0.2,0.01,SGD,0.12735262513160706,0.7084289789199829
63,"(16, 64, 64)",0.3,0.01,SGD,0.1275203824043274,0.7076603174209595
46,"(16, 32, 32)",0.3,0.0001,Adam,0.12752796709537506,0.7076255083084106
51,"(16, 32, 64)",0.3,0.01,SGD,0.12756940722465515,0.7074354290962219
97,"(32, 64, 64)",0.2,0.01,SGD,0.12758181989192963,0.7073785066604614
22,"(16, 16, 32)",0.3,0.0001,Adam,0.1278262585401535,0.7062561511993408
49,"(16, 32, 64)",0.2,0.01,SGD,0.12790840864181519,0.705878496170044
2,"(16, 16, 16)",0.3,0.01,Adam,0.12794670462608337,0.7057023644447327
44,"(16, 32, 32)",0.2,0.0001,Adam,0.12807326018810272,0.7051198482513428
10,"(16, 16, 16)",0.3,0.0001,Adam,0.1281796246767044,0.7046298384666443
8,"(16, 16, 16)",0.2,0.0001,Adam,0.12837916612625122,0.7037094831466675
15,"(16, 16, 32)",0.3,0.01,SGD,0.12842302024364471,0.7035070657730103
94,"(32, 32, 64)",0.3,0.0001,Adam,0.12854498624801636,0.7029436230659485
13,"(16, 16, 32)",0.2,0.01,SGD,0.12870772182941437,0.7021909952163696
25,"(16, 16, 64)",0.2,0.01,SGD,0.12882891297340393,0.7016299366950989
109,"(64, 64, 64)",0.2,0.01,SGD,0.12896694242954254,0.7009902000427246
80,"(32, 32, 32)",0.2,0.0001,Adam,0.12912337481975555,0.7002643942832947
6,"(16, 16, 16)",0.3,0.001,Adam,0.12926886975765228,0.6995885372161865
85,"(32, 32, 64)",0.2,0.01,SGD,0.1292981654405594,0.6994523406028748
82,"(32, 32, 32)",0.3,0.0001,Adam,0.12945902347564697,0.6987041234970093
87,"(32, 32, 64)",0.3,0.01,SGD,0.12952706217765808,0.6983872652053833
111,"(64, 64, 64)",0.3,0.01,SGD,0.12966632843017578,0.6977382898330688
37,"(16, 32, 32)",0.2,0.01,SGD,0.1298341155052185,0.696955680847168
27,"(16, 16, 64)",0.3,0.01,SGD,0.1300652027130127,0.695875883102417
39,"(16, 32, 32)",0.3,0.01,SGD,0.13145114481449127,0.6893599629402161
1,"(16, 16, 16)",0.2,0.01,SGD,0.131601020693779,0.6886512637138367
75,"(32, 32, 32)",0.3,0.01,SGD,0.13204720616340637,0.686536431312561
3,"(16, 16, 16)",0.3,0.01,SGD,0.13967187702655792,0.6492912769317627
113,"(64, 64, 64)",0.2,0.001,SGD,0.14167216420173645,0.6391741037368774
103,"(32, 64, 64)",0.3,0.001,SGD,0.15165315568447113,0.5865418910980225
101,"(32, 64, 64)",0.2,0.001,SGD,0.1599188596010208,0.54024338722229
77,"(32, 32, 32)",0.2,0.001,SGD,0.16724823415279388,0.49713462591171265
65,"(16, 64, 64)",0.2,0.001,SGD,0.1697290688753128,0.48210573196411133
91,"(32, 32, 64)",0.3,0.001,SGD,0.1737608015537262,0.4572094678878784
55,"(16, 32, 64)",0.3,0.001,SGD,0.17379239201545715,0.4570120573043823
67,"(16, 64, 64)",0.3,0.001,SGD,0.17582190036773682,0.4442562460899353
115,"(64, 64, 64)",0.3,0.001,SGD,0.17793716490268707,0.4308038353919983
89,"(32, 32, 64)",0.2,0.001,SGD,0.18079808354377747,0.4123533368110657
95,"(32, 32, 64)",0.3,0.0001,SGD,0.18422189354896545,0.3898858428001404
53,"(16, 32, 64)",0.2,0.001,SGD,0.19086609780788422,0.3450831174850464
17,"(16, 16, 32)",0.2,0.001,SGD,0.193025141954422,0.33018267154693604
79,"(32, 32, 32)",0.3,0.001,SGD,0.19475007057189941,0.3181578516960144
5,"(16, 16, 16)",0.2,0.001,SGD,0.20165331661701202,0.2689630389213562
29,"(16, 16, 64)",0.2,0.001,SGD,0.20200984179973602,0.26637572050094604
41,"(16, 32, 32)",0.2,0.001,SGD,0.20840531587600708,0.21918851137161255
31,"(16, 16, 64)",0.3,0.001,SGD,0.2090921849012375,0.21403318643569946
119,"(64, 64, 64)",0.3,0.0001,SGD,0.2120923399925232,0.1913164258003235
83,"(32, 32, 32)",0.3,0.0001,SGD,0.21575184166431427,0.163169264793396
7,"(16, 16, 16)",0.3,0.001,SGD,0.21795831620693207,0.1459653377532959
43,"(16, 32, 32)",0.3,0.001,SGD,0.22087477147579193,0.12295705080032349
9,"(16, 16, 16)",0.2,0.0001,SGD,0.22377020120620728,0.09981215000152588
107,"(32, 64, 64)",0.3,0.0001,SGD,0.2239314466714859,0.09851443767547607
117,"(64, 64, 64)",0.2,0.0001,SGD,0.2243257611989975,0.09533679485321045
71,"(16, 64, 64)",0.3,0.0001,SGD,0.22553668916225433,0.08554357290267944
93,"(32, 32, 64)",0.2,0.0001,SGD,0.2257833033800125,0.08354264497756958
33,"(16, 16, 64)",0.2,0.0001,SGD,0.2268507480621338,0.07485657930374146
57,"(16, 32, 64)",0.2,0.0001,SGD,0.2343374788761139,0.012784123420715332
35,"(16, 16, 64)",0.3,0.0001,SGD,0.23731327056884766,-0.012447834014892578
11,"(16, 16, 16)",0.3,0.0001,SGD,0.23878222703933716,-0.025020599365234375
105,"(32, 64, 64)",0.2,0.0001,SGD,0.23939619958400726,-0.030298590660095215
23,"(16, 16, 32)",0.3,0.0001,SGD,0.23993544280529022,-0.03494536876678467
81,"(32, 32, 32)",0.2,0.0001,SGD,0.2433081865310669,-0.06424605846405029
47,"(16, 32, 32)",0.3,0.0001,SGD,0.24410249292850494,-0.07120621204376221
59,"(16, 32, 64)",0.3,0.0001,SGD,0.24631036818027496,-0.09067165851593018
45,"(16, 32, 32)",0.2,0.0001,SGD,0.26695773005485535,-0.2811901569366455
21,"(16, 16, 32)",0.2,0.0001,SGD,0.45224496722221375,-2.676851749420166
19,"(16, 16, 32)",0.3,0.001,SGD,0.5815375447273254,-5.079727649688721
69,"(16, 64, 64)",0.2,0.0001,SGD,0.5815375447273254,-5.079727649688721
73,"(32, 32, 32)",0.2,0.01,SGD,0.5815375447273254,-5.079727649688721
